building_name_en,mean,count,std,ci95_hi,ci95_lo
JUMEIRA Business Center 2,8507.17,711,2505.58,8691.34,8322.99
DAMAC HEIGHTS,20734.22,710,7498.76,21285.81,20182.63
GHALIA,11887.45,707,2996.49,12108.33,11666.57
Amwaj 4,10950.32,698,4180.39,11260.45,10640.19
Rimal 1,10179.46,697,4318.66,10500.08,9858.84
Burj Khalifa Zone 2B ,28055.83,695,10598.86,28843.83,27267.84
HDS BUSINESS CENTRE,6548.99,695,2128.83,6707.26,6390.72
Lakepoint N2,8186.48,694,2172.33,8348.1,8024.86
The Manhattan,7846.68,693,1816.45,7981.92,7711.43
Dubai Star,9188.52,692,2570.12,9380.02,8997.03
LAKESIDE B,9964.04,691,2517.67,10151.77,9776.32
LAKESIDE C,10007.46,684,2723.34,10211.56,9803.37
Marina Quay West,12147.66,683,4196.09,12462.36,11832.97
  PALLADIUM,8990.36,677,3557.93,9258.37,8722.34
Goldcrest Views,9732.26,674,3322.72,9983.11,9481.41
Park Lane,16741.31,671,10289.84,17519.89,15962.73
ARABIAN GATE,8114.57,669,1463.7,8225.48,8003.65
LAKE CITY TOWER,9992.61,668,2817.08,10206.25,9778.98
THE BINARY BY OMNIYAT,13800.87,663,10191.53,14576.65,13025.09
KEMPINSKI RESIDENCES,17580.02,662,8690.44,18242.04,16918.0
SABA 3,10897.77,662,3456.97,11161.11,10634.43
GREEN LAKES S2,9185.25,655,2840.0,9402.75,8967.76
THE RESIDENCES NORTH,15035.05,655,4603.1,15387.57,14682.53
Spring,9526.46,654,3113.51,9765.08,9287.83
LAKESIDE A,9812.87,653,2574.66,10010.35,9615.39
LAKESIDE D,9740.09,652,2509.87,9932.75,9547.43
Jumeirah Gate Tower 1,26511.1,650,9906.96,27272.73,25749.48
WEST AVENUE,17440.92,640,7229.19,18001.01,16880.83
HAMENI TOWER,8918.75,632,2253.71,9094.46,8743.04
MANCHESTER,9720.05,630,3475.3,9991.43,9448.67
ROYAL OCEANIC-1,12750.7,630,3993.05,13062.51,12438.89
PARAMOUNT TOWER HOTEL & RESIDENCES,19656.96,629,5112.39,20056.5,19257.43
Indigo Tower,9556.13,628,5042.1,9950.49,9161.78
THE RESIDENCES SOUTH,16169.96,624,4474.94,16521.07,15818.84
GR PANORAMA,12775.11,622,3603.2,13058.28,12491.94
Elite Residences 6,10627.19,619,3615.7,10912.03,10342.35
WEST HEIGHTS 4,10695.68,619,2903.4,10924.41,10466.95
Burj Royale,21842.55,619,5749.2,22295.47,21389.64
Shams 4,13097.37,616,4205.57,13429.49,12765.26
THE PRISM,12766.33,612,2728.73,12982.52,12550.13
Peninsula Three,23051.42,612,1828.74,23196.31,22906.53
ICON 1,8619.09,609,2706.12,8834.02,8404.16
Al Majara 2,11935.16,609,4523.11,12294.4,11575.92
V3 TOWER,8900.83,607,2790.45,9122.83,8678.84
ICON 2,8984.0,606,2534.83,9185.82,8782.18
Elite 5 Sports Residence,10157.13,603,2949.18,10392.52,9921.73
Boulevard Point,21002.95,603,4400.35,21354.17,20651.72
THE SIGNATURE,21153.18,599,7837.38,21780.82,20525.53
GREEN LAKES S3,13057.32,598,3261.33,13318.71,12795.92
Fortunato 1,7353.89,596,1947.85,7510.28,7197.51
SLS DUBAI,26060.24,596,8412.3,26735.62,25384.86
Murjan 2,10508.1,595,5169.71,10923.5,10092.7
SKYZ BY DANUBE,12941.56,594,1255.92,13042.56,12840.56
ELITE 8 SPORTS RESIDENCE,9583.83,593,1830.0,9731.13,9436.54
AL SHERA,8761.24,591,8018.29,9407.7,8114.77
THE METROPOLIS,12558.89,591,3113.52,12809.91,12307.86
SAHAB-2,11708.31,590,4116.63,12040.49,11376.13
Jumeirah Business Center 5,10502.49,584,3212.12,10763.01,10241.97
Peninsula Four,25479.07,571,2425.08,25677.99,25280.16
WEST HEIGHTS 3,10965.26,570,3146.95,11223.61,10706.91
Sadaf 6,9824.52,567,5187.48,10251.51,9397.52
Giovanni Boutique Suites,12192.91,566,3785.62,12504.79,11881.03
WEST HEIGHTS 5,10882.33,566,3811.35,11196.32,10568.33
GREEN LAKES S1,9572.93,565,2819.29,9805.4,9340.46
THE RESIDENCES AT MARINA GATE 1,19477.44,564,4417.36,19842.01,19112.87
LINKS WEST T1,11652.9,563,3631.54,11952.88,11352.92
REGAL TOWER,13837.38,562,7744.83,14477.7,13197.06
PARK ISLAND BONAIRE,13063.1,562,3384.75,13342.94,12783.26
Binghatti Avenue,8970.82,561,1696.89,9111.24,8830.4
ONTARIO TOWER,13537.16,561,4662.21,13922.97,13151.36
Sobha Creek Vistas Reserve,18674.85,561,1145.69,18769.66,18580.04
Park Island Fairfield,13737.1,561,3887.38,14058.79,13415.41
ESCAN MARINA TOWER,11874.08,558,3978.77,12204.21,11543.95
HAMZA TOWER,7635.95,558,1784.23,7784.0,7487.91
Sadaf 7,10112.24,557,4614.73,10495.48,9728.99
THE POINT TOWER,14526.28,556,16232.87,15875.6,13176.97
SKY CENTRAL,37858.56,552,10292.15,38717.17,36999.96
AL Murjan,12456.05,550,5025.75,12876.07,12036.02
THE CRESCENT A,8070.88,550,2746.0,8300.37,7841.38
DOWNTOWN VIEWS,20213.93,547,4412.44,20583.7,19844.15
NOURA TOWER,16725.52,545,5414.63,17180.12,16270.92
DREAM TOWER,8614.58,544,2917.61,8859.76,8369.4
Address Fountain Views Residences - Tower 2,26781.25,543,6720.66,27346.54,26215.97
PARK RIDGE TOWER C,15459.85,541,2826.77,15698.06,15221.65
HDS Tower,7552.43,538,3930.32,7884.55,7220.31
Address Fountain Views Residences - Tower 1,26841.15,538,6364.09,27378.93,26303.38
BLVD CENTRAL 2,36417.67,538,59123.98,41413.74,31421.6
Studio One ,16254.59,535,3477.82,16549.29,15959.88
1 Lake Plaza,8476.06,532,14314.69,9692.47,7259.64
PARK ISLAND BLAKELY,11810.11,531,3140.85,12077.26,11542.96
Elite Business Bay Residence,12417.03,531,1968.81,12584.49,12249.57
ALTAJER,15958.24,526,5052.57,16390.03,15526.45
ZADA TOWER,16793.38,524,974.77,16876.84,16709.92
DUBAI GATE 2,12660.86,521,62140.34,17996.8,7324.92
WIND ONE,9146.16,521,3237.39,9424.16,8868.17
IVORY TOWER,7584.8,519,1747.42,7735.14,7434.46
Lakeside,10976.71,518,2399.66,11183.36,10770.05
Address Residences Sky View,26566.56,517,6165.57,27098.03,26035.08
MERANO,15657.08,516,3698.46,15976.19,15337.96
DAMAC TOWERS BY PARAMOUNT (D),18995.2,516,7525.98,19644.57,18345.82
WINDSOR MANOR,10491.27,515,3418.69,10786.54,10196.0
Bahar 6,13180.02,515,5116.38,13621.91,12738.13
Bahar 4,10322.5,514,5033.46,10757.65,9887.35
Downtown Views II T1,20539.7,513,2723.04,20775.34,20304.06
REVA RESIDENCES,17118.33,513,3355.07,17408.67,16828.0
PRIVE BY DAMAC (A),22398.89,513,4195.39,22761.94,22035.84
Rimal 4,9470.31,512,5431.29,9940.77,8999.85
Burj Views Podium,13856.95,511,3897.25,14194.87,13519.04
Elite Residences 3,9926.53,510,2571.96,10149.76,9703.31
EMIRATES CROWN TOWER,9983.77,507,4117.52,10342.19,9625.36
VENETIAN,8840.09,505,2636.6,9070.05,8610.12
THE CRESCENT  B,8705.96,505,3199.28,8985.0,8426.92
ARMADA  3,10191.33,504,2728.32,10429.52,9953.13
The Fairways West Tower,13242.32,504,3768.92,13571.37,12913.28
TIME PLACE TOWER,10177.44,503,3817.18,10511.04,9843.85
AL BATEEN RESIDENCES AT JBR,19166.0,503,5904.13,19681.97,18650.02
Clover Bay,10004.4,502,2968.94,10264.12,9744.68
THE RESIDENCES AT BUSINESS CENTRAL,13034.44,500,4184.82,13401.25,12667.62
Al Majara 1,11267.99,499,4136.81,11630.96,10905.02
MY TOWER,13732.57,499,4325.27,14112.07,13353.06
Jumeirah Gate Tower 2,35643.74,496,10347.36,36554.38,34733.11
Forte T1,24022.33,495,4291.93,24400.43,23644.23
Palace Residences,17764.55,494,2399.11,17976.12,17552.99
TFG MARINA,31926.65,493,10619.68,32864.09,30989.21
PARK ISLAND SANIBEL,12737.39,492,8734.51,13509.21,11965.58
DAMAC TOWERS BY PARAMOUNT (A),18241.09,492,5798.18,18753.44,17728.74
LINKS EAST T2,11883.88,491,3790.34,12219.15,11548.61
DEC TOWERS T2,8979.27,489,2473.32,9198.49,8760.05
GOLF TOWERS T3,11981.54,489,3831.52,12321.14,11641.93
MIRACLZ TOWER,12264.75,488,1601.95,12406.88,12122.62
DORRA BAY,11259.51,487,6082.85,11799.76,10719.26
Elite Residence 1,7943.17,487,2177.35,8136.55,7749.79
 DM MESK,11942.77,487,5037.61,12390.19,11495.35
VIDA RESIDENCE DOWNTOWN,24541.51,485,6463.31,25116.73,23966.28
ELITE RESIDENCES 2,9574.56,485,2807.4,9824.41,9324.7
AMNA TOWER,14265.22,485,2221.49,14462.93,14067.51
South Ridge 1,14689.46,480,5232.17,15157.53,14221.38
The Grand,20051.07,480,3622.24,20375.12,19727.02
The St. Regis Residences - Tower 1,32058.37,479,4357.05,32448.56,31668.17
BLVD CENTRAL 1,17535.54,474,4722.35,17960.67,17110.41
REEF RESIDENCE,9077.66,474,2104.34,9267.1,8888.21
MARINA VIEW TOWER A,11001.63,472,4028.28,11365.05,10638.22
Tiffany Towers,8153.37,471,2558.13,8384.4,7922.34
Farhad Azizi Residence,15680.44,471,2576.43,15913.12,15447.75
 Starz Tower 2,7858.59,466,3665.59,8191.41,7525.78
HANOVER SQUARE,10130.86,465,2886.32,10393.21,9868.52
SUMMER 2,8415.14,461,2099.54,8606.8,8223.48
GR Arno,10597.17,461,3588.67,10924.77,10269.58
ABJAR TOWER,8720.09,461,1309.42,8839.62,8600.56
THE CRESCENT C,9609.15,460,3795.13,9955.97,9262.33
AUTUMN 1,7820.26,460,1818.84,7986.48,7654.04
DIAMOND VIEWS 3,7730.04,459,2365.61,7946.46,7513.63
MARINA DIAMOND-2,9736.18,459,3367.36,10044.24,9428.12
PRIVE BY DAMAC (B),23202.53,457,5236.83,23682.67,22722.4
VERA TOWER,16141.55,456,2143.8,16338.32,15944.79
South Ridge 6,13643.15,455,7015.37,14287.77,12998.54
MADINA TOWER,8748.9,454,2639.75,8991.72,8506.07
Plaza Residences 2,7488.28,453,2050.36,7677.09,7299.46
Smart Heights,12199.57,451,6477.59,12797.41,11601.74
MAJESTINE,17933.95,450,5149.28,18409.72,17458.18
Bonnington,12017.0,450,4289.55,12413.33,11620.67
AUTUMN 2,7598.12,448,2192.85,7801.18,7395.06
Tamweel Tower,7548.82,448,1797.21,7715.24,7382.39
MAYFAIR  RESIDENCY,13057.09,448,3237.28,13356.87,12757.31
Rimal 3,9923.73,447,5509.27,10434.47,9413.0
THE PALM TOWER,24503.32,445,15537.75,25946.97,23059.66
MBL RESIDENCE,13369.71,445,2450.16,13597.36,13142.06
DAMAC TOWERS BY PARAMOUNT (B),19693.71,441,7744.47,20416.52,18970.89
Peninsula One,19950.07,440,2078.92,20144.33,19755.82
 Starz Tower 1,7915.31,440,3644.42,8255.84,7574.78
Mazaya 4,7090.32,440,1319.56,7213.62,6967.02
MAYFAIR TOWER,13657.38,437,3652.75,13999.86,13314.9
UNA APARTMENTS B,12295.35,435,2413.0,12522.11,12068.58
ADDRESS HARBOUR POINT TOWER 2,26506.99,434,3051.07,26794.04,26219.94
The Address Residences Dubai Opera T1,33624.05,434,6635.11,34248.3,32999.8
DAMAC HILLS - CARSON (A),13889.97,433,2597.73,14134.65,13645.29
UPPER CREST,22089.19,432,8369.15,22878.41,21299.98
Sobha Hartland Waves,20799.81,431,1175.21,20910.76,20688.86
Orra Marina,12285.26,430,4974.09,12755.4,11815.11
The Spirit,23172.0,428,8561.41,23983.11,22360.89
Burj Khalifa Zone 4,32304.75,427,12978.9,33535.81,31073.68
Downtown Views II T2,20699.57,426,2676.36,20953.72,20445.41
SEEF 3,8796.31,424,3303.67,9110.78,8481.85
THE RESIDENCES II - TOWER 3,17932.96,423,7121.64,18611.64,17254.28
Hub Canal 1,8680.65,423,2988.23,8965.42,8395.88
The Fairways East Tower,12793.06,420,4653.77,13238.14,12347.98
Shams 2,10502.71,420,3339.8,10822.12,10183.3
Marquise Square Tower,17550.12,419,4390.8,17970.54,17129.69
BELLA ROSE,11753.66,418,1528.15,11900.16,11607.16
Paloma x3,13771.16,415,4496.43,14203.77,13338.55
Vida Residences 3 & 4 - The Hills,14087.11,415,2829.7,14359.36,13814.85
Rimal 5,9156.82,413,5059.0,9644.73,8668.9
Elite Residences 4,9022.3,411,2869.48,9299.72,8744.88
MAG 318,20005.8,410,3795.85,20373.23,19638.37
Silicon Heights,8007.84,410,1739.91,8176.26,7839.42
