building_name_en,mean,count,std,ci95_hi,ci95_lo
SABA 1,9286.34,335,4711.75,9790.91,8781.78
WATER'S EDGE,19345.55,335,6054.36,19993.89,18697.21
Indigo Icon,8185.99,335,2974.12,8504.48,7867.51
Marina Apartments 3,12843.54,335,3742.38,13244.3,12442.78
Residences_E2,16441.84,334,8595.84,17363.72,15519.97
MARINA DIAMOND 4,9989.8,334,3707.49,10387.41,9592.18
CHIC TOWER,22853.29,334,2346.24,23104.92,22601.67
ASPECT TOWER,12920.79,333,9181.95,13907.0,11934.58
Hilliana Tower,11841.58,332,3461.54,12213.94,11469.23
EAST HEIGHTS 2,11765.45,332,3743.93,12168.18,11362.71
MARINA DIAMOND-3,10701.36,332,3836.86,11114.08,10288.63
Ice Hockey Tower,8739.6,331,2248.17,8981.8,8497.4
ROYAL AMWAJ RESIDENCES NORTH,21824.11,331,8332.82,22721.82,20926.41
The St. Regis Residences - Tower 2,28970.25,331,1418.38,29123.05,28817.44
DAMAC HILLS - ARTESIA TOWER A,16782.15,331,2537.15,17055.49,16508.82
URBAN OASIS,19270.6,330,3399.09,19637.34,18903.86
Sadaf 2,9181.65,329,4331.04,9649.66,8713.65
SILICON ARCH,7650.47,328,5234.91,8217.01,7083.93
THE ONYX - TOWER 2,12630.17,328,3351.42,12992.87,12267.47
Oia Residence,8299.89,328,2025.12,8519.05,8080.72
Hills Park,19070.35,328,942.42,19172.34,18968.35
AL GHOZLAN 3,11307.51,328,3103.95,11643.43,10971.59
Sky View Tower,13664.08,327,4521.01,14154.1,13174.05
Cavalli Casa Tower,29648.47,327,11978.75,30946.83,28350.11
THE 8,22942.49,326,6676.51,23667.25,22217.73
LA RIVIERA TOWER,9480.73,326,4404.26,9958.84,9002.63
CLAREN TOWER 1,21616.58,326,7640.77,22446.02,20787.15
Marina Apartments 2,13265.72,326,3959.98,13695.6,12835.85
Swiss Tower,9936.59,326,2446.13,10202.13,9671.05
LOFTS T CENT,15522.68,326,4605.3,16022.6,15022.75
BEACH VISTA Tower 1,22332.26,325,10625.68,23487.5,21177.02
Al Tamr,9715.35,325,4044.25,10155.04,9275.65
1 Residences - 1,17300.58,324,3674.38,17700.68,16900.48
ACACIA AT PARK HEIGHTS BUILDING B,12996.34,324,3420.79,13368.83,12623.86
Address Residences Sky View 2,27146.17,324,6613.65,27866.32,26426.02
IRIS BLUE,15544.25,324,4034.09,15983.52,15104.98
AYKON CITY 3 - TOWER A,25009.21,324,1378.73,25159.33,24859.08
Palace Beach Residence Tower 2,28421.57,323,4171.93,28876.55,27966.59
South Ridge 4,13900.88,323,4719.4,14415.57,13386.2
CANDACE ACACIA HOTEL APARTMENTS,13015.82,323,2763.46,13317.19,12714.44
Oakwood Residency,9116.38,323,3365.89,9483.45,8749.3
Silicon Gates 4,9098.85,322,2181.27,9337.1,8860.6
AL GHOZLAN 1,10459.83,321,3623.7,10856.25,10063.41
Rimal 6,10095.48,320,5703.33,10720.38,9470.59
The Square,8348.7,320,3443.3,8725.97,7971.42
WAVEZ RESIDENCE,9608.74,319,1219.8,9742.6,9474.88
JBC4,9453.34,319,2552.11,9733.41,9173.27
AL SAQRAN TOWER,8595.78,319,2280.75,8846.07,8345.5
MARINA SHORES,26719.36,318,3302.66,27082.36,26356.36
FAIRVIEW,14542.52,317,3560.54,14934.49,14150.56
ROY MEDITERRANEAN,12452.89,317,2680.37,12747.96,12157.82
Mazaya 3,7110.1,317,1388.68,7262.97,6957.23
Forte T2,22565.3,317,3195.39,22917.07,22213.54
The One Hotel,45701.67,316,7861.51,46568.47,44834.87
Blvd Heights T1,19862.07,316,4461.82,20354.02,19370.12
Port Saeed A-1,15312.12,316,11528.52,16583.24,14041.0
SPORT ONE,12107.97,316,2348.78,12366.95,11849.0
DIAMOND VIEWS 2,7260.27,315,2231.38,7506.69,7013.85
Sadaf 1,8716.04,315,4182.48,9177.93,8254.15
SUMMER 1,8282.56,314,1991.9,8502.88,8062.24
South Ridge 3,13887.99,314,5311.23,14475.46,13300.52
Sadaf 4,10150.04,314,5505.37,10758.99,9541.1
BERMUDA VIEWS,8410.76,313,1700.1,8599.1,8222.41
Iris Bay,12811.89,313,5696.53,13442.99,12180.8
Marina Plaza,21644.12,313,7117.93,22432.69,20855.55
Act One Act Two Tower 2,24802.62,313,2735.92,25105.72,24499.52
Sadaf 5,10110.94,313,5121.79,10678.36,9543.52
Sobha Hartland Waves Grande,18678.6,312,1012.29,18790.93,18566.28
EXECUTIVE HEIGHTS,12303.97,312,7091.54,13090.87,11517.07
Stella Maris,19798.14,312,3927.85,20233.98,19362.29
The Prime Tower,10858.23,312,3822.11,11282.34,10434.11
Dubai Pearl North Tower,28434.38,311,13027.33,29882.26,26986.51
ZEN2-020,7559.6,310,3190.34,7914.75,7204.45
PALACE TOWERS T1,7827.6,310,2723.01,8130.72,7524.47
Al Hallawi,10581.16,310,4289.52,11058.67,10103.65
Rimal 2,9991.73,309,5747.84,10632.62,9350.85
BLVD CRESCENT Tower 1,18169.32,309,4413.54,18661.43,17677.21
AURORA W1,14203.51,309,4903.22,14750.23,13656.8
ONE BUSINESS BAY BY OMNIYAT,13864.41,309,4380.83,14352.87,13375.94
Executive Bay-A,13807.18,308,3809.71,14232.65,13381.71
EAST HEIGHTS 1,10448.59,308,2630.49,10742.36,10154.81
Emirates Gardens 1 - G1,7948.7,308,3323.11,8319.83,7577.57
Al Khushkar,10223.98,308,4935.93,10775.24,9672.73
BEACH VISTA Tower 2,21869.21,307,10633.28,23058.68,20679.74
AZIZI PLAZA,12663.77,307,2860.12,12983.71,12343.83
DIAMOND VIEWS 1,7135.89,307,1904.9,7348.98,6922.81
Al Basri,12976.99,306,6101.0,13660.58,12293.4
THE WAVES A,9315.66,306,3412.98,9698.07,8933.25
Port Saeed B-2,14016.81,306,9107.7,15037.29,12996.33
ZUMURUD,14021.51,306,3883.91,14456.69,13586.33
OASIS TOWER 2,14564.67,306,5530.04,15184.29,13945.05
17 ICON BAY,16676.2,306,3443.15,17062.0,16290.41
CREEK HORIZON TOWER 1,16083.45,305,3878.86,16518.77,15648.13
THE WIND TOWER II,9863.25,305,4349.0,10351.33,9375.16
RIVIERA LAKE VIEW,6067.74,303,1828.1,6273.58,5861.9
SHAKESPEARE SIRCUS 1,7013.27,303,1899.68,7227.17,6799.36
Platinum One,12192.6,302,3629.27,12601.93,11783.27
Capital Bay A,16716.66,301,5044.88,17286.59,16146.73
Collective Tower 1,15497.17,301,1927.23,15714.89,15279.45
MARINA MANSIONS,8441.56,301,4104.48,8905.26,7977.87
MARINA TOWER,15728.01,300,4279.85,16212.32,15243.7
BLOOM TOWERS B,10820.9,299,1081.03,10943.44,10698.37
AL THAYYAL-1,9246.97,298,4271.85,9732.0,8761.95
PARK HEIGHTS II T2,13426.48,296,2193.31,13676.34,13176.61
Elite 9 Sports Residence,10790.13,296,2074.84,11026.5,10553.76
ELITE DOWNTOWN RESIDENCE,21742.65,295,6897.5,22529.76,20955.53
Murjan 6,9350.62,295,4794.04,9897.69,8803.54
FAHAD 2,9720.06,295,3108.54,10074.79,9365.33
SUNRISE BAY Tower 1,22777.84,294,6654.83,23538.55,22017.13
AL KHAIL HEIGHTS 4A-4B,7848.68,294,216.23,7873.4,7823.96
ARMADA 2,9458.37,293,3965.77,9912.47,9004.27
STADUIM POINT,7311.99,293,3166.03,7674.52,6949.47
AL GHOZLAN 2,10401.87,293,3038.57,10749.8,10053.94
HAMILTON  RESIDENCY,13295.34,291,2858.84,13623.82,12966.87
CORAL RESIDENCE,8119.88,291,2558.48,8413.84,7825.92
Address The Bay,35656.11,291,5846.82,36327.89,34984.32
Opera Grand,37811.92,290,30522.2,41324.88,34298.97
Al Hamri,10193.55,290,4192.03,10676.03,9711.07
THE VOGUE,18689.38,290,5169.15,19284.33,18094.44
POLARIS,12123.09,290,3194.78,12490.8,11755.39
Sobha Hartland - The Crest Tower C,21067.48,289,1393.97,21228.19,20906.76
Joya Dorado Residence,10849.64,289,1264.72,10995.46,10703.83
BLOOM TOWERS C,10581.06,289,1324.17,10733.73,10428.39
SOBHA CREEK VISTAS ? TOWER A,17232.03,288,1254.26,17376.89,17087.17
LINKS CANAL,14425.12,288,5427.35,15051.95,13798.3
Murjan 5,8934.31,288,5404.2,9558.46,8310.15
THE SCALA TOWER,12173.54,287,2942.66,12513.99,11833.09
Oceanic,10190.88,287,3194.13,10560.43,9821.33
Hub Canal 2,8403.72,286,4646.97,8942.29,7865.15
GRANDUER RESIDENCES-MAURYA,16715.18,286,6023.58,17413.3,16017.06
DM Yass,12422.21,285,5017.06,13004.69,11839.73
Binghatti Heights,8110.08,284,1214.74,8251.36,7968.8
PALM BEACH TOWERS- 3,39156.08,284,3434.74,39555.56,38756.61
SOBHA CREEK VISTAS - TOWER B,17952.89,284,1466.93,18123.5,17782.28
RITAJ  A,9202.08,283,1522.9,9379.52,9024.65
Collective Tower 2,15056.92,282,2574.36,15357.39,14756.45
No.9,19090.74,282,5017.43,19676.36,18505.13
VUE DU LAC,8895.78,282,1246.17,9041.23,8750.33
DETROIT HOUSE,8139.24,282,1937.4,8365.36,7913.11
SAMAR 3,9675.06,281,4460.6,10196.61,9153.51
AL Dhafrah-4,9822.76,281,4700.32,10372.34,9273.18
Al Dhafrah-1,9640.97,279,3897.22,10098.28,9183.67
BAYS EDGE,17114.72,279,4339.71,17623.95,16605.49
Park Central,13910.45,279,4008.38,14380.81,13440.1
EAGLE HEIGHTS,8569.04,278,2766.18,8894.21,8243.87
Al Sarrood,9775.35,278,3919.51,10236.1,9314.6
BELGRAVIA 2,9319.8,278,2056.3,9561.52,9078.07
AXIS RESIDENCE 2,7222.88,277,2000.89,7458.51,6987.24
LATIFA TOWER,15315.67,277,5480.82,15961.12,14670.22
CENTRIUM TOWER 4,8336.03,277,2244.37,8600.34,8071.72
SAMAR 4,9267.53,276,4032.4,9743.26,8791.79
THE EXCHANGE TOWER,10504.56,276,5520.88,11155.91,9853.22
Royale Residence 2,8917.5,276,2700.53,9236.1,8598.9
OLYMPIC PARK 4,7510.34,275,2926.49,7856.23,7164.45
La Vie,23081.62,275,6876.8,23894.4,22268.83
Beauport X1,13862.98,275,4643.73,14411.84,13314.13
Cordoba Palace,6917.64,274,2359.32,7197.0,6638.28
PALAZZO VERSACE,26790.1,274,12508.3,28271.18,25309.02
AL HASEER B7,12272.29,273,4777.65,12839.04,11705.55
CREEK EDGE Tower 1,21712.26,273,1497.26,21889.87,21534.65
Blue Wave,8927.25,273,777.59,9019.49,8835.01
RIAH TOWERS,8621.7,273,2767.72,8950.02,8293.38
51 @ Business Bay,11983.09,272,5063.95,12584.9,11381.28
OCEANA HOTEL AND APARTMENTS,30037.09,272,5429.16,30682.3,29391.87
City Center Residences,27342.74,271,4834.79,27918.37,26767.1
PARK GATE RESIDENCES 4,12928.47,271,3135.0,13301.73,12555.21
Al Anbara,10289.67,271,4563.06,10832.96,9746.39
AL ARTA2,9389.04,271,4114.9,9878.97,8899.11
AL Dhafrah-3,9660.67,270,4220.58,10164.1,9157.23
SUNRISE BAY Tower 2,23660.81,270,6603.83,24448.53,22873.09
Joya Blanca Residences,8797.2,270,1075.05,8925.43,8668.96
MED 47,6386.27,270,1258.43,6536.38,6236.16
Elvira 1,21201.96,269,1166.76,21341.39,21062.53
SAHAB-1,11202.45,268,3754.66,11651.98,10752.92
BAYSIDE,11635.6,268,3904.82,12103.1,11168.09
Emirates Gardens 1 - G2,8082.74,267,3253.11,8472.95,7692.53
AL THAYYAL-2,10269.42,267,3757.66,10720.15,9818.69
Collective 2.0 Tower B,16152.33,267,1846.07,16373.76,15930.89
DUNES,7000.69,266,2299.25,7277.01,6724.38
ZENITH TOWER,9349.68,266,2902.65,9698.5,9000.85
GRANDUER RESIDENCES-MUGHAL,16724.27,265,4959.03,17321.35,16127.2
Park Heights I,13756.98,265,1795.01,13973.1,13540.85
AL ALKA 1,12403.62,264,3498.93,12825.69,11981.54
Plaza Residences 1,8977.01,263,2482.5,9277.04,8676.98
Al Habool,10111.06,263,4712.35,10680.59,9541.53
Frankfurt Sports Tower,8913.02,263,3646.69,9353.76,8472.29
BARTON HOUSE 1,9950.36,262,2768.57,10285.61,9615.12
Al Shahla,10417.03,261,4401.44,10951.02,9883.04
Al Khudrawi,12705.23,260,6560.16,13502.65,11907.82
THE BRIDGE,16319.71,260,7239.63,17199.71,15439.7
CLASSIC APARTMENT,5898.76,260,1504.29,6081.61,5715.9
SOBHA HARTLAND GREENS - PHASE III - 2,16309.76,260,1438.13,16484.57,16134.95
S.I.T Tower,7065.79,259,3096.89,7442.95,6688.62
O2,8195.68,259,3888.14,8669.21,7722.15
OLYMPIC PARK 3,8547.53,259,4190.62,9057.9,8037.16
Creek Palace,19718.67,258,2147.52,19980.72,19456.62
Lincoln Park -West Side,10257.18,258,2824.36,10601.82,9912.54
ATRIA RA,15228.23,257,4207.93,15742.7,14713.76
Creek Gate Tower 1,17053.36,257,3811.66,17519.38,16587.35
Reliance 15,8838.09,257,712.07,8925.15,8751.03
SAMAR 2,9011.46,257,3833.49,9480.14,8542.77
Creek Rise Tower 1,17821.97,256,2970.59,18185.86,17458.07
AL THAYYAL-3,9894.15,256,3839.71,10364.52,9423.79
U02,5503.49,255,2083.02,5759.16,5247.82
PARK VIEW TOWER,10009.4,255,2150.37,10273.33,9745.46
Ahad Residences,18365.01,254,2000.53,18611.04,18118.98
MARINA ARCADE,14109.85,254,3875.49,14586.46,13633.23
CREEK HORIZON TOWER 2,16175.12,254,3592.07,16616.88,15733.37
Avalon Tower,32474.73,254,3648.22,32923.39,32026.07
ROYAL AMWAJ RESIDENCES SOUTH,19968.32,254,7909.47,20941.04,18995.61
Harbour Gate Tower 1,16628.2,254,3903.89,17108.31,16148.1
DAMAC HILLS - GOLF GATE,13503.56,254,854.63,13608.66,13398.45
AZIZI SAMIA,11180.25,253,3638.45,11628.59,10731.91
SILICON STAR 1,7250.33,253,2655.01,7577.49,6923.16
BERLIN BUSINESS TOWER,18919.68,253,3502.32,19351.25,18488.11
RIVIERA DREAMS,6015.67,253,1292.78,6174.97,5856.37
RUBY,17472.85,252,4723.92,18056.1,16889.59
AL ARTA 3,10338.63,252,4309.6,10870.73,9806.53
SHERLOCK HOUSE 1,7461.6,252,1853.84,7690.49,7232.71
Collective 2.0 Tower A,16796.28,252,2325.23,17083.37,16509.19
Capital Bay B,17426.04,252,5722.21,18132.56,16719.53
APRICOT,7010.48,252,3380.62,7427.88,6593.08
Al Hatimi,13208.77,251,9922.47,14436.32,11981.22
JASH HAMAD - B18,10929.09,251,2558.47,11245.61,10612.57
CRYSTAL RESIDENCE,9047.95,251,1824.84,9273.71,8822.19
SAMI Q TOWER,10450.59,251,8999.12,11563.91,9337.27
BANYAN TREE RESIDENCES HILLSIDE DUBAI,17609.18,251,3891.03,18090.56,17127.81
OLYMPIC PARK 1,7589.21,250,2021.88,7839.84,7338.57
THE NOOK 2-1,9492.47,250,1797.04,9715.24,9269.71
Creekside 18 B,15448.64,250,4351.1,15988.01,14909.28
AL THAYYAL-4,10011.76,249,4153.11,10527.62,9495.9
Marina Wharf 1,11863.52,249,4305.19,12398.27,11328.78
SAMAR 1,8447.78,248,3781.58,8918.43,7977.12
SHERLOCK HOUSE 2,7226.05,248,1743.85,7443.09,7009.01
GERMAN DESIGN TOWER 1,14833.17,248,2327.49,15122.85,14543.49
DIAMOND,18920.6,248,4650.98,19499.46,18341.74
Blvd Heights T2,20005.54,247,4293.98,20541.05,19470.03
AL ARTA1,9983.16,247,3759.87,10452.06,9514.26
SILICON HEIGHTS2,9044.32,247,1900.68,9281.35,8807.28
REEF TOWER,10945.63,247,4576.53,11516.37,10374.88
EDEN GARDEN,9098.77,246,1708.38,9312.26,8885.28
AL ARTA 4,9677.19,246,3834.96,10156.43,9197.96
ASTON TOWERS,8966.3,246,524.47,9031.84,8900.76
Grand Bleu Tower interiors by Elie Saab Tower 2,32080.21,246,10881.77,33440.05,30720.37
Marina Vista Tower 1,26724.31,245,5439.28,27405.41,26043.2
Peninsula Five - 3,20931.45,244,1861.47,21165.02,20697.88
Dana Tower,7857.52,244,2211.41,8135.0,7580.04
Emirates Gardens1 1 - L2,8997.24,243,13141.88,10649.62,7344.86
GATE ZONE,4305.59,242,0.02,4305.6,4305.59
BEACH MANSION - TOWER 1,29617.76,242,3809.77,30097.77,29137.76
Binghatti Creek,10835.45,241,1727.32,11053.53,10617.37
Beach Isle Tower 1,27357.92,241,7395.6,28291.65,26424.2
DICKENS CIRCUS 1,8080.91,240,2401.17,8384.7,7777.12
Universal Apartment,6156.41,240,5116.18,6803.7,5509.13
UNIVERSITY VIEW  B,5651.29,239,1666.85,5862.62,5439.97
Emirates Garden II - Magnolia 1 ,8785.31,239,3236.4,9195.63,8374.99
DAMAC HILLS - ARTESIA TOWER C,15710.03,239,2595.61,16039.11,15380.96
AQUAMARINE,18451.93,239,4442.63,19015.18,17888.69
LAWNZ BLOCK 2,9082.78,239,1194.24,9234.19,8931.37
Riviera Residence,7214.83,239,1517.61,7407.24,7022.43
WEST HEIGHTS 6,13330.22,239,3297.36,13748.26,12912.17
AL KHAIL HEIGHTS 9A-9B,6903.75,239,2538.68,7225.61,6581.9
AZIZI MONTRELL,11539.56,239,3349.68,11964.24,11114.89
Cricket Tower,8328.54,238,2281.84,8618.44,8038.64
Azizi Liatris,8283.89,238,1894.95,8524.64,8043.14
TRAFALGAR,6988.51,238,1863.32,7225.24,6751.78
OQOOD-CRYSTAL TOWER,30427.96,238,7968.77,31440.37,29415.54
AZIZI FARISHTA,11613.56,238,2981.31,11992.33,11234.79
Residences_W1,15491.31,238,8065.07,16515.96,14466.66
JADE RESIDENCE,8214.26,238,2867.68,8578.6,7849.93
Sobha Hartland - The Crest Tower A,20663.83,238,185.47,20687.39,20640.27
ADDRESS HARBOUR POINT TOWER 1,26013.96,237,3732.3,26489.14,25538.78
EMERALD,17073.92,237,4743.27,17677.82,16470.03
SEVENTH HEAVEN,11162.47,237,3287.45,11581.02,10743.93
canceled building,5163.32,236,2367.72,5465.41,4861.24
HERCULES TOWER,6980.85,236,1986.72,7234.33,6727.37
BLOOM HEIGHTS B,10455.61,236,1298.73,10621.31,10289.91
SANDOVAL GARDEN APARTMENTS 2,7968.05,235,2548.73,8293.92,7642.18
Azizi Riviera 1,15262.09,235,1249.04,15421.79,15102.39
Lincoln Park- Sheffield,10504.64,235,2467.0,10820.06,10189.22
TRIA BY DEYAAR,11683.25,235,948.02,11804.46,11562.04
ARMADA 1,10845.88,235,3105.6,11242.95,10448.81
BURJ VISTA Tower 2,18646.1,234,4455.7,19217.01,18075.2
Abu Keibal,9764.24,234,4024.58,10279.91,9248.57
52|42 Tower 2,19475.29,234,3914.15,19976.81,18973.77
Millennium Binghatti Residences Business Bay,13215.95,233,3962.57,13724.76,12707.14
TOWN SQUARE - RAWDA APARTMENTS 1,11053.73,233,2289.25,11347.68,10759.78
AL MANARA TOWER,10130.51,232,2164.23,10409.0,9852.01
BERLIN CITY CENTER,21996.92,232,10224.93,23312.67,20681.17
Mazaya 20,3533582.54,232,3624999.94,4000048.63,3067116.44
LARIVIERA  ESTATE-B,8445.13,232,2100.44,8715.42,8174.85
THE ROYAL ATLANTIS RESORT & RESIDENCES,49542.23,231,13707.69,51309.96,47774.51
Town Square Jenna 2,9479.95,231,2468.89,9798.33,9161.56
PARK GATE RESIDENCES 1,13899.13,231,3726.78,14379.73,13418.53
ARENA APARTMENTS,8637.53,230,1872.43,8879.52,8395.54
Al Dabas,12522.12,230,6472.38,13358.6,11685.64
Town Square Zahra 2A,8012.35,230,2000.0,8270.83,7753.87
KENSINGTON MANOR,9698.54,230,2527.83,10025.24,9371.85
Hayat Boulevard-1B,8823.42,230,2748.13,9178.59,8468.26
Al Msalli,12281.58,229,6093.52,13070.82,11492.34
MARINA WHARF II,12505.83,229,3931.02,13014.98,11996.68
SHAKESPEARE SIRCUS 2,7082.46,229,1654.39,7296.73,6868.18
RITZ RESIDENCE,7209.19,228,1978.85,7466.05,6952.33
SUBURBIA B,9825.03,228,3715.98,10307.38,9342.68
DOLPHIN TOWER,33005.68,228,5365.89,33702.2,32309.17
Avenue Residence 1,8340.31,227,1756.82,8568.86,8111.77
LAWNZ BLOCK 3,9166.03,227,758.86,9264.75,9067.31
SOBHA HARTLAND GREENS- PHASE II (BUILDING 01),15556.92,227,2203.93,15843.63,15270.21
I & M TOWER,8679.71,227,1677.7,8897.96,8461.46
Golfville Block A,17059.03,226,1516.23,17256.72,16861.35
The Paragon by IGO,17861.5,226,2617.91,18202.81,17520.18
DUBAI WHARF TOWER 2,13162.57,226,3608.37,13633.02,12692.12
Reliance 12,9243.86,225,2807.49,9610.7,8877.01
Oxford Residence 2,9165.73,225,2134.2,9444.6,8886.86
CONTINENTAL TOWER,15201.65,225,6286.98,16023.15,14380.15
TUSCAN RESIDENCES1-AREZZO 1,8527.09,224,2814.25,8895.64,8158.54
PEARLZ By Danube,12025.29,224,1415.46,12210.66,11839.92
LAWNZ BLOCK 4,9083.35,224,936.29,9205.96,8960.74
AL KHAIL HEIGHTS 7A-7B,7157.61,224,1767.79,7389.12,6926.1
Lincoln Park A,10264.8,224,1680.83,10484.92,10044.68
TOWN SQUARE ZAHRA BREEZE 4A,8431.4,223,2715.57,8787.83,8074.98
ELZ RESIDENCE,10286.87,223,1206.49,10445.23,10128.52
CANDACE ASTER HOTEL APARTMENTS,12484.15,223,2412.87,12800.84,12167.46
QASR SABAH I,12168.81,223,3793.43,12666.7,11670.92
PALM BEACH TOWERS-2,33805.55,222,3129.56,34217.24,33393.87
UNIESTATE SPORTS TOWER,8953.64,222,2467.23,9278.2,8629.09
SUPREME RESIDENCY,6203.42,222,1715.22,6429.06,5977.79
Creekside 18 A,17387.76,222,5229.86,18075.73,16699.79
GLAMZ RESIDENCE TOWER 2,11661.42,222,2082.52,11935.36,11387.47
Azizi Shaista Residence,11378.9,222,3277.39,11810.03,10947.77
Armani Residences,61798.84,222,31859.08,65989.79,57607.88
COURT,10758.38,221,4016.51,11287.94,10228.83
Jash Falqa,13369.18,221,6166.38,14182.18,12556.18
Citywalk Residential Building 22,12100.37,221,3765.97,12596.89,11603.84
G R TRAVO B,10964.27,220,3670.21,11449.27,10479.28
OASIS TOWER ONE,8995.28,220,3507.01,9458.71,8531.85
Prime Residency 3,11243.48,220,1028.79,11379.43,11107.53
AL MURAD TOWERS,12369.25,220,3345.82,12811.37,11927.12
AL Dhafrah-2,9646.73,220,4110.55,10189.91,9103.55
AZURE RESIDENCES,22192.74,219,11606.51,23729.96,20655.52
CHAPAL THE DESTINY B,8691.54,219,1385.87,8875.09,8507.99
AL KHAIL HEIGHTS 5A-5B,7566.93,219,1606.08,7779.65,7354.21
Marina Quay North,14421.2,219,4541.79,15022.73,13819.66
Vida Dubai Mall Tower 2,22428.09,218,2499.83,22759.94,22096.24
OLYMPIC PARK 2,6797.56,218,1489.46,6995.28,6599.83
REGINA,10539.0,217,1337.25,10716.93,10361.08
AEGEAN,14718.97,217,3978.13,15248.27,14189.66
Bellevue Towers-1,17785.01,217,2973.9,18180.7,17389.32
BINGHATTI  VIEWS,7062.83,217,1534.07,7266.94,6858.71
PANTHEON ELYSEE,11148.3,216,1983.85,11412.87,10883.73
Citywalk Residential Building 1,14904.36,216,4396.69,15490.71,14318.01
Al Sultana,13724.55,216,6355.11,14572.07,12877.02
FIVE LUXE,45765.25,216,8229.14,46862.7,44667.81
Emirates Gardens 1 - R1,8163.42,216,2784.88,8534.81,7792.02
Rigel,8190.06,216,1589.33,8402.02,7978.11
PANTHEON BOULEVARD,7854.64,215,2236.5,8153.6,7555.69
TOWN SQUARE SAFI 1B,8813.61,215,2113.56,9096.14,8531.09
Emirates Garden II - Mulberry 2,8475.27,215,2058.05,8750.37,8200.17
PALM BEACH TOWERS -1,34956.4,215,4698.77,35584.49,34328.31
X20,6276.84,215,1519.43,6479.94,6073.73
INDIGO OPTIMA 1,7952.24,215,2078.84,8230.12,7674.36
Time 1,8932.91,215,1427.36,9123.71,8742.12
CENTRIUM TOWER 2,8324.15,214,2070.96,8601.63,8046.68
MARINA RESIDENCE B,10944.07,214,2939.73,11337.94,10550.2
Sparkle Tower 1,17055.21,214,3392.73,17509.77,16600.64
ORRA HARBOUR TOWER 2,10950.27,214,4364.93,11535.09,10365.44
LADY RATAN MANOR,7675.3,214,2599.96,8023.65,7326.95
1 Residences - 2,17439.51,213,3063.06,17850.87,17028.15
Fairooz,14129.64,213,11102.08,15620.62,12638.66
SILICON GATE 3,9797.43,213,3256.33,10234.74,9360.11
THE OBEROI CENTRE,16849.78,213,4856.05,17501.93,16197.63
15 Northside - Tower 2,18906.32,213,1761.55,19142.89,18669.75
Harbour Gate Tower 2,16264.99,213,2990.61,16666.62,15863.36
Binghatti Canal,17310.6,213,2460.25,17641.01,16980.2
LARIVIERA  ESTATE-A,8299.16,212,1850.59,8548.27,8050.04
RP HEIGHTS,15312.2,212,4777.14,15955.26,14669.13
Opalz By Danube - Tower 1,13341.16,212,1498.75,13542.91,13139.41
GOLDEN MILE 1,9063.0,212,2547.27,9405.89,8720.1
Three Towers B-2,6863.09,211,2489.25,7198.97,6527.21
THE ANWA BY OMNIYAT,18910.1,211,3443.66,19374.76,18445.44
GOLDEN MILE 9,10106.86,211,3171.74,10534.83,9678.89
TUSCAN RESIDENCES1-AREZZO 2,9632.86,210,3241.74,10071.31,9194.4
Lake Central,12634.61,210,4235.56,13207.48,12061.74
BLOOM TOWERS A,10433.52,210,1850.44,10683.8,10183.24
GOLDEN MILE 3,9157.33,209,2458.06,9490.59,8824.08
Delphine W3,13721.05,209,4156.38,14284.56,13157.55
BALQIS RESIDENCE 2,15762.36,209,6657.06,16664.89,14859.82
EAST HEIGHTS 3,12174.18,209,3633.56,12666.81,11681.56
ADRIATIC,17782.31,208,7006.24,18734.47,16830.15
Citywalk Residential Building 9,12052.23,208,3449.44,12521.01,11583.44
Ruby Residence,8967.1,208,2808.77,9348.81,8585.38
MARINA VIEW TOWERS B,11477.37,208,3971.95,12017.16,10937.58
GLAMZ RESIDENCE TOWER 1,11517.55,208,1777.7,11759.15,11275.96
PACIFIC,17068.04,208,5574.35,17825.61,16310.48
LAWNZ BLOCK 1,8796.66,208,702.28,8892.1,8701.22
LIV RESIDENCE,18493.95,207,3625.79,18987.89,18000.01
AL ANBER,13948.44,207,5759.06,14732.99,13163.89
Luma21,11091.23,206,1974.11,11360.81,10821.65
Creek Gate Tower 2,17041.28,206,3701.72,17546.79,16535.78
U04,6202.2,205,2043.01,6481.87,5922.53
Town Square Zahra 1A,8131.27,205,1771.83,8373.82,7888.72
GLOBAL GREEN VIEW - II,7090.19,205,1582.89,7306.88,6873.5
MOG 193,7438.11,205,2070.41,7721.54,7154.69
ATTAREEN,15823.82,205,6199.32,16672.45,14975.18
La Vista 2,8414.24,205,1791.72,8659.52,8168.97
DESERT SUN TOWER,7570.7,204,2108.06,7859.99,7281.42
Emirates Garden II - Magnolia 2 ,9174.93,204,3226.18,9617.65,8732.21
BLVD PLAZA T1,29133.38,204,10741.09,30607.35,27659.4
AL KHAIL HEIGHTS 3A-3B,7403.98,204,1659.51,7631.71,7176.25
SAFEER TOWER 1,13930.82,204,4322.01,14523.92,13337.72
MED 67,8565.72,203,2773.74,8947.29,8184.15
Mazaya 10 - A,6806.77,203,1368.43,6995.02,6618.52
AL KHAIL HEIGHTS 6A-6B,7623.42,203,1497.42,7829.41,7417.43
4DIRECTION RESIDENCE 1,3978.58,203,485.66,4045.39,3911.77
TANZANITE,17827.5,203,4551.35,18453.61,17201.39
EMPIRE HEIGHTS B,8636.79,203,2629.64,8998.54,8275.05
DANA 2,6281.39,203,1809.82,6530.36,6032.42
